customeraccount,sexo,cp,ciudad,estado,cve_prom,cve_suc,cve_zona,edo_civil
1-184288-RD,F,6720,CUAUHTEMOC,CIUDAD DE MEXICO,W0443,44,4831.0,S
1-651466-IF,M,44720,GUADALAJARA,JALISCO,W1009,100,6150.0,C
1-569246-HS,M,52985,ATIZAPAN DE ZARAGOZA,MEXICO,W0998,99,9934.0,S
1-221438-YJ,M,62130,CUERNAVACA,MORELOS,V0001,86,4831.0,C
1-913467-AC,M,92400,EL HIGO,VERACRUZ DE IGNACIO DE LA LLAVE,V0209,273,9932.0,C
1-748769-JS,M,96420,COATZACOALCOS,VERACRUZ DE IGNACIO DE LA LLAVE,W3448,344,9933.0,C
1-767411-GF,M,22230,TIJUANA,BAJA CALIFORNIA,W1322,132,6777.0,S
1-461968-R\,M,7279,GUSTAVO A MADERO,CIUDAD DE MEXICO,W6024,602,9934.0,S
1-819688-DD,M,45040,ZAPOPAN,JALISCO,W1262,126,6150.0,C
1-888900-MK,F,97120,MERIDA,YUCATAN,V8156,376,9610.0,C
1-651923-H[,F,86980,EMILIANO ZAPATA,TABASCO,W9812,981,9610.0,S
1-739811-FR,M,43625,TULANCINGO DE BRAVO,HIDALGO,W5445,544,9934.0,S
1-835593-FS,M,99000,FRESNILLO,ZACATECAS,W9342,934,9931.0,C
1-489317-ZP,M,22880,ENSENADA,BAJA CALIFORNIA,W1492,149,6777.0,C
1-739895-LI,F,1180,ALVARO OBREGON,CIUDAD DE MEXICO,W0078,7,9934.0,S
1-829199-NP,M,91700,VERACRUZ,VERACRUZ DE IGNACIO DE LA LLAVE,W3368,336,9933.0,C
1-586170-KS,M,45030,ZAPOPAN,JALISCO,W5018,501,6150.0,C
1-424767-XE,F,53290,NAUCALPAN,MEXICO,W0478,47,4831.0,C
1-408323-[A,M,7457,GUSTAVO A MADERO,DF,V8157,649,9934.0,S
1-600532-CF,M,47170,SAN JULIAN,JALISCO,W1653,165,6150.0,C
1-210951-ZN,F,6170,CUAUHTEMOC,CIUDAD DE MEXICO,Z0026,3002,9934.0,S
1-794598-XV,F,53100,NAUCALPAN,MEXICO,W0652,65,9934.0,S
1-996047-GG,F,52140,METEPEC,MEXICO,W0848,84,9934.0,C
1-431974-CJ,M,2900,AZCAPOTZALCO,CIUDAD DE MEXICO,X1983,1198,9934.0,C
1-659079-L\,F,31203,CHIHUAHUA,CHIHUAHUA,V0463,721,6777.0,S
1-538699-UK,F,47600,TEPATITLAN DE MORELOS,JALISCO,W1584,158,6150.0,C
1-731589-MH,M,45260,IXTLAHUACAN DEL RIO,JALISCO,V0661,176,6150.0,C
1-434356-QJ,M,67350,ALLENDE,NUEVO LEON,V8151,256,9932.0,S
1-781031-DW,M,45120,ZAPOPAN,JALISCO,X9011,1901,9610.0,C
1-872830-BR,M,3020,BENITO JUAREZ,CIUDAD DE MEXICO,W3412,341,9933.0,C
1-192412-PD,M,7420,GUSTAVO A MADERO,CIUDAD DE MEXICO,W0278,27,9934.0,C
1-530206-QQ,F,60320,LOS REYES,MICHOACAN DE OCAMPO,W2942,294,6150.0,S
1-241601-[G,F,6700,CUAUHTEMOC,CIUDAD DE MEXICO,W0358,35,9934.0,S
1-399915-UM,F,3100,BENITO JUAREZ,CIUDAD DE MEXICO,W6863,686,4831.0,C
1-755130-XA,M,22125,TIJUANA,BAJA CALIFORNIA,W1354,135,6777.0,C
1-610877-AM,M,60950,LAZARO CARDENAS,MICHOACAN DE OCAMPO,W1869,186,6150.0,C
1-315307-PI,M,22920,ENSENADA,BAJA CALIFORNIA,W1394,139,6777.0,C
1-705552-KC,F,71404,CUILAPAM DE GUERRERO,OAXACA,V0317,1966,9933.0,C
1-537392-GK,F,47470,LAGOS DE MORENO,JALISCO,V0149,151,9931.0,C
1-529792-IZ,F,54720,CUAUTITLAN IZCALLI,MEXICO,W0485,48,9934.0,C
1-860030-EL,M,97120,MERIDA,YUCATAN,W3748,374,9610.0,C
1-371187-AZ,M,52784,HUIXQUILUCAN,MEXICO,V8155,3026,9934.0,C
1-391982-ZB,M,55070,ECATEPEC,MEXICO,W0265,26,4831.0,C
1-466158-RG,M,96536,COATZACOALCOS,VERACRUZ DE IGNACIO DE LA LLAVE,V0182,306,9610.0,D
1-285133-IU,F,49700,SAN GABRIEL,JALISCO,W1673,167,6150.0,C
1-836688-CP,F,22820,ENSENADA,BAJA CALIFORNIA,W9498,949,9934.0,C
1-198338-SS,F,45036,ZAPOPAN,JALISCO,W1092,109,6150.0,C
1-702831-IB,F,78140,SAN LUIS POTOSI,SAN LUIS POTOSI,W2885,288,9931.0,C
