customeraccount,sexo,cp,ciudad,estado,cve_prom,cve_suc,cve_zona,edo_civil,CVE_SUC,NOM_SUC,CVE_ZONA,NOM_ZONA,CVE_COORD,NOM_COORD,latitud,longitud
1-345962-AW,M,36250,GUANAJUATO,GUANAJUATO,W3792,379,9610.0,C,379,SUC.CHETUMAL,9610,D DIV RB PENINSULAR,9308,P05 - PENINSULA,21.0046294,-101.2775308
1-294623-VZ,F,3900,BENITO JUAREZ,CIUDAD DE MEXICO,W0093,9,4831.0,S,9,SUC. TACUBAYA,4831,D DIV RB METRO SUR,5231,MS03 - FELIX CUEVAS,19.3656714,-99.1866493
1-352906-OP,M,6720,CUAUHTEMOC,CIUDAD DE MEXICO,W0128,12,4831.0,S,12,SUC. DOCTORES,4831,D DIV RB METRO SUR,5202,MS02 - CENTRO,19.4155586,-99.1502457
1-557251-SI,F,48900,AUTLAN DE NAVARRO,JALISCO,W1599,159,6150.0,S,159,SUC. AUTLAN SUC. ASIG.III,6150,D DIV RB OCCIDENTE,6044,O06 - COLIMA,19.7676272,-104.3727414
1-638523-IA,F,25000,SALTILLO,COAHUILA DE ZARAGOZA,W9498,949,9934.0,S,949,SUC. CENTRO SANTA FE,9934,D DIV RB METRO NORTE,5235,MN03 - SANTA FE,25.4217215,-101.0001139
1-550666-SG,F,21290,MEXICALI,BAJA CALIFORNIA,W1492,149,6777.0,C,149,SUC. CENTRO CIVICO,6777,D DIV  RB NOROESTE,7611,NO03 - MEXICALI,32.6320077,-115.4294725
1-288613-JC,M,55870,ACOLMAN,MEXICO,W0652,65,9934.0,C,65,SUC. MANUEL IZAGUIRRE,9934,D DIV RB METRO NORTE,5205,MN04 - SATELITE,19.6389077,-98.9111902
1-156747-CI,M,76020,SANTIAGO DE QUERETARO,QUERETARO,W3722,372,9931.0,C,372,SUC.PLAZA LAS AMERICAS,9931,D DIV RB CENTRO,6607,C03 - QUERETARO,20.597586,-100.3816715
1-601011-GW,F,92830,TUXPAM,VERACRUZ DE IGNACIO DE LA LLAVE,V0292,342,9933.0,C,342,SUC. TUXPAN,9933,D DIV RB  SUR,8611,S06 - POZA RICA,20.9636595,-97.3976249
1-529386-FL,F,23020,LA PAZ,BAJA CALIFORNIA SUR,W1955,195,6777.0,C,195,SUC. ISABEL LA CATOLICA,6777,D DIV  RB NOROESTE,7213,NO07 - B.C.S,24.1609997,-110.3020687
1-296657-PF,M,45030,ZAPOPAN,JALISCO,Z8044,3804,6150.0,S,3804,SUC. ANDARES,6150,D DIV RB OCCIDENTE,6049,O03 - GUADALAJARA,20.6562766,-103.4299342
1-700378-QW,M,64700,MONTERREY,NUEVO LEON,W3988,398,9932.0,S,398,SUC. REVOLUCION SUR,9932,D DIV RB NORTE,8011,N04 - MONTERREY 4,25.6470331,-100.2983517
1-975658-IU,F,76000,QUERETARO,QUERETARO,V0087,370,9931.0,C,370,SUC. CENTRO QUERETARO,9931,D DIV RB CENTRO,6607,C03 - QUERETARO,20.5931356,-100.3915438
1-375505-OE,M,9200,IZTAPALAPA,CIUDAD DE MEXICO,W0998,99,9934.0,C,99,SUC. TORRE HSBC,9934,D DIV RB METRO NORTE,9764,MN02 - REFORMA,19.3571668,-99.0556182
